COMPONENT,QTY,price,link
XIAO ESP32 nRF52840 plus,1,2300,https://www.mouser.in/ProductDetail/Seeed-Studio/102010672?qs=sqEgtWRSLJ0SuHAgTfdO0A%3D%3D
3.7V Lithium Polymer Battery,1,397,https://www.amazon.in/gp/product/B0GM6RKSB4/ref=ox_sc_act_title_5?smid=A3QQB9C2QXM7ZJ&psc=1
slide swtich 3pin,1,100,https://www.amazon.in/gp/product/B0D33BLGBB/ref=ox_sc_act_title_2?smid=A1UUD7CBBVVXIG&psc=1
Mechanical Switches,70,1260,https://www.thecosmicbyte.com/product/kailh-mechanical-switches-for-swappable-keyboards-pack-of-10/?attribute_pa_switch-type=red-switch
Kailh Hotswap Sockets,70,870,https://neomacro.in/products/kailh-mx-hotswap-socket?variant=49467139227926&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopVD4cFI4fO_pTjpV6yRDVC6ayw5SC4WdKNbUQ2JEQ1qGB6k4tUDO0
Diodes (1N4148W),100,1944,https://www.digikey.in/en/products/detail/mcc-micro-commercial-components/1N4148W-TP/717196
Stabilizers (PCB mount),1,2400,https://www.amazon.in/gp/product/B07K8HP6KC/ref=ox_sc_act_title_3?smid=AKPH4HW0FR8BT&psc=1
Keycaps,1,"5,335",https://www.amazon.in/gp/product/B0FS27BG38/ref=ox_sc_act_title_4?smid=A2IJXLCHRFK9Q6&th=1
LED (SK6812 Mini-E) reverse,100,"6,310",https://www.amazon.in/gp/product/B0D5LGQ629/ref=ox_sc_act_title_6?smid=A473XUTYXHG1Q&psc=1
Decoupling Capacitors,100,100,https://robu.in/product/1uf-capacitor-smdc-0402-pack-of-50/
Transistor,1,28,https://www.digikey.in/en/products/detail/smc-diode-solutions/SM712/16584910
PCB,1,"5,918",https://jlcpcb.com
3D printitng,2,"1,729.00",https://robu.in/product/3d-printing-service1/
resistors,2,already have it ,
Mini Hot Plate,,"2,556",https://www.amazon.in/Preheating-Soldering-Preheater-Platform-56x56x35mm/dp/B0C7W3W8C4/ref=sr_1_6?crid=30ZZRZ5C55121&dib=eyJ2IjoiMSJ9.5v0oDaaWAegeG4HG062elSyH7-GT1hlX5yGKO4LEHo5U_EJFKWiQ-Or4NS9scaQtrWBqX_n2zEgSr-VWLp70xvi8b0A_rnaBn0ndh0GZddrC6ASkbwDXJ3fsH8rR6c-a7ox6zsDaLYLp0-2OWvsqNUR1CSFL0h9-FhGYg5cIT9kuJesZjvkTUqbxkeJmFKFzH4NkvV_juQP2Z1hjLMqgxeG9d6gg1CeKGoFxE37BsQ0H3Zvp2J7HmGx_04yjwyn-ZQ800-OSGW8SKFSBiCjA3RXoWyjH6gI18xVdwoQJWkw.tx2UPLfMMF3SJYrCw3WmKKMpeKExGqnVQcfWfcw3__I&dib_tag=se&keywords=heat+plate+for+soldering&qid=1779785676&sprefix=heat+plate+for+solderi%2Caps%2C264&sr=8-6
miscellaneous,,1000,
TOTAL,,32,247(337$),
